goos: linux
goarch: amd64
pkg: jsonbench
cpu: INTEL(R) XEON(R) GOLD 6548N
BenchmarkUnmarshalRecords                    	      67	  19512293 ns/op	  61.47 MB/s	 5179553 B/op	   80027 allocs/op
BenchmarkUnmarshalRecords                    	      66	  19538549 ns/op	  61.39 MB/s	 5179553 B/op	   80027 allocs/op
BenchmarkUnmarshalRecords                    	      72	  19509428 ns/op	  61.48 MB/s	 5179553 B/op	   80027 allocs/op
BenchmarkUnmarshalRecords                    	      67	  19473073 ns/op	  61.60 MB/s	 5179553 B/op	   80027 allocs/op
BenchmarkUnmarshalRecords                    	      67	  19389343 ns/op	  61.86 MB/s	 5179553 B/op	   80027 allocs/op
BenchmarkUnmarshalRecords                    	      73	  19495815 ns/op	  61.52 MB/s	 5179552 B/op	   80027 allocs/op
BenchmarkUnmarshalRecords                    	      67	  19384081 ns/op	  61.88 MB/s	 5179553 B/op	   80027 allocs/op
BenchmarkUnmarshalRecords                    	      69	  19483829 ns/op	  61.56 MB/s	 5179553 B/op	   80027 allocs/op
BenchmarkMarshalRecords                      	     434	   2715392 ns/op	 441.72 MB/s	 1204261 B/op	       2 allocs/op
BenchmarkMarshalRecords                      	     440	   2714887 ns/op	 441.81 MB/s	 1204261 B/op	       2 allocs/op
BenchmarkMarshalRecords                      	     444	   2708455 ns/op	 442.85 MB/s	 1204261 B/op	       2 allocs/op
BenchmarkMarshalRecords                      	     445	   2682580 ns/op	 447.13 MB/s	 1204261 B/op	       2 allocs/op
BenchmarkMarshalRecords                      	     440	   2771372 ns/op	 432.80 MB/s	 1204261 B/op	       2 allocs/op
BenchmarkMarshalRecords                      	     435	   2713460 ns/op	 442.04 MB/s	 1204261 B/op	       2 allocs/op
BenchmarkMarshalRecords                      	     427	   2708028 ns/op	 442.92 MB/s	 1204261 B/op	       2 allocs/op
BenchmarkMarshalRecords                      	     428	   2706005 ns/op	 443.26 MB/s	 1204261 B/op	       2 allocs/op
PASS
ok  	jsonbench	79.953s
