goos: darwin
goarch: arm64
pkg: jsonbench
cpu: Apple M4 Max
BenchmarkUnmarshalRecords                    	     100	  10880098 ns/op	 110.24 MB/s	 5179553 B/op	   80027 allocs/op
BenchmarkUnmarshalRecords                    	     100	  10684391 ns/op	 112.26 MB/s	 5179554 B/op	   80027 allocs/op
BenchmarkUnmarshalRecords                    	     100	  10693029 ns/op	 112.17 MB/s	 5179553 B/op	   80027 allocs/op
BenchmarkUnmarshalRecords                    	     100	  10649461 ns/op	 112.63 MB/s	 5179553 B/op	   80027 allocs/op
BenchmarkUnmarshalRecords                    	     100	  10845890 ns/op	 110.59 MB/s	 5179553 B/op	   80027 allocs/op
BenchmarkUnmarshalRecords                    	     100	  10800481 ns/op	 111.06 MB/s	 5179553 B/op	   80027 allocs/op
BenchmarkUnmarshalRecords                    	     100	  10669652 ns/op	 112.42 MB/s	 5179553 B/op	   80027 allocs/op
BenchmarkUnmarshalRecords                    	     100	  10861969 ns/op	 110.43 MB/s	 5179553 B/op	   80027 allocs/op
BenchmarkMarshalRecords                      	     734	   1625042 ns/op	 738.10 MB/s	 1204261 B/op	       2 allocs/op
BenchmarkMarshalRecords                      	     739	   1633616 ns/op	 734.23 MB/s	 1204261 B/op	       2 allocs/op
BenchmarkMarshalRecords                      	     750	   1634757 ns/op	 733.72 MB/s	 1204261 B/op	       2 allocs/op
BenchmarkMarshalRecords                      	     745	   1635145 ns/op	 733.54 MB/s	 1204261 B/op	       2 allocs/op
BenchmarkMarshalRecords                      	     752	   1611428 ns/op	 744.34 MB/s	 1204261 B/op	       2 allocs/op
BenchmarkMarshalRecords                      	     736	   1609963 ns/op	 745.02 MB/s	 1204261 B/op	       2 allocs/op
BenchmarkMarshalRecords                      	     736	   1631606 ns/op	 735.14 MB/s	 1204261 B/op	       2 allocs/op
BenchmarkMarshalRecords                      	     745	   1637127 ns/op	 732.66 MB/s	 1204261 B/op	       2 allocs/op
PASS
ok  	jsonbench	77.300s
