goos: darwin
goarch: arm64
pkg: jsonbench
cpu: Apple M4 Max
BenchmarkUnmarshalAny/jsonv2/citm_catalog  	     300	   4027248 ns/op	 428.88 MB/s	 4965310 B/op	   81005 allocs/op
BenchmarkMarshalAny/json/twitter           	     891	   1271116 ns/op	 370.50 MB/s	  475287 B/op	       9 allocs/op
BenchmarkMarshalAny/json/twitter           	     974	   1245886 ns/op	 378.00 MB/s	  475285 B/op	       9 allocs/op
BenchmarkMarshalAny/json/twitter           	     970	   1257707 ns/op	 374.45 MB/s	  475285 B/op	       9 allocs/op
BenchmarkMarshalAny/json/twitter           	     963	   1249747 ns/op	 376.83 MB/s	  475285 B/op	       9 allocs/op
BenchmarkMarshalAny/json/twitter           	     962	   1265506 ns/op	 372.14 MB/s	  475285 B/op	       9 allocs/op
BenchmarkMarshalAny/json/twitter           	     958	   1263288 ns/op	 372.79 MB/s	  475285 B/op	       9 allocs/op
BenchmarkMarshalAny/json/twitter           	     924	   1257691 ns/op	 374.45 MB/s	  475285 B/op	       9 allocs/op
BenchmarkMarshalAny/json/twitter           	     973	   1257359 ns/op	 374.55 MB/s	  475285 B/op	       9 allocs/op
BenchmarkMarshalAny/json/canada            	     234	   5024436 ns/op	 416.01 MB/s	 2097337 B/op	       9 allocs/op
BenchmarkMarshalAny/json/canada            	     236	   5030895 ns/op	 415.48 MB/s	 2097338 B/op	       9 allocs/op
BenchmarkMarshalAny/json/canada            	     241	   5029607 ns/op	 415.59 MB/s	 2097337 B/op	       9 allocs/op
BenchmarkMarshalAny/json/canada            	     235	   5030816 ns/op	 415.49 MB/s	 2097336 B/op	       9 allocs/op
BenchmarkMarshalAny/json/canada            	     240	   5104526 ns/op	 409.49 MB/s	 2097337 B/op	       9 allocs/op
BenchmarkMarshalAny/json/canada            	     228	   5169701 ns/op	 404.32 MB/s	 2097336 B/op	       9 allocs/op
BenchmarkMarshalAny/json/canada            	     235	   5641715 ns/op	 370.50 MB/s	 2097338 B/op	       9 allocs/op
BenchmarkMarshalAny/json/canada            	     224	   5288423 ns/op	 395.25 MB/s	 2097332 B/op	       9 allocs/op
